Tau,alpha,Fidelity,Params
0.2,0.0,0.7965401469499751,"{'Delta0': np.float64(-42.96751129780086), 'delta0': np.float64(1479.07072577983), 'Omega0': np.float64(127.54855169458374), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.125,0.8302750416061832,"{'Delta0': np.float64(-45.52131765899735), 'delta0': np.float64(1475.346608260925), 'Omega0': np.float64(129.55669762992147), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.25,0.8577267861346958,"{'Delta0': np.float64(-50.23160469621865), 'delta0': np.float64(1469.3472452904568), 'Omega0': np.float64(132.4177688389638), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.375,0.8795129123516683,"{'Delta0': np.float64(-56.14779712453217), 'delta0': np.float64(1461.946161682091), 'Omega0': np.float64(136.1707741183799), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.5,0.8965507509672083,"{'Delta0': np.float64(-61.515025227164436), 'delta0': np.float64(1454.7187076494804), 'Omega0': np.float64(140.33172490269607), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.625,0.9094478540369337,"{'Delta0': np.float64(-65.15833392930634), 'delta0': np.float64(1448.6990410253673), 'Omega0': np.float64(144.2811889598505), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.75,0.9186934852943461,"{'Delta0': np.float64(-67.29820297708487), 'delta0': np.float64(1443.767946059687), 'Omega0': np.float64(148.08221944753632), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,0.875,0.9248084053832788,"{'Delta0': np.float64(-67.61524214971745), 'delta0': np.float64(1440.2395960667475), 'Omega0': np.float64(151.523021351513), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.2,1.0,0.9283253036370217,"{'Delta0': np.float64(-66.02632561013189), 'delta0': np.float64(1438.2332254970695), 'Omega0': np.float64(154.4977775294685), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.0,0.8977284990765729,"{'Delta0': np.float64(-134.9731044372072), 'delta0': np.float64(1502.0106407679837), 'Omega0': np.float64(174.0441340525593), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.125,0.93488304925564,"{'Delta0': np.float64(-136.46436085946775), 'delta0': np.float64(1473.3582848506978), 'Omega0': np.float64(385.560215978283), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.25,0.9090661976687621,"{'Delta0': np.float64(-20.123176622689527), 'delta0': np.float64(1493.829231717644), 'Omega0': np.float64(88.6681843448403), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.375,0.9253304339411909,"{'Delta0': np.float64(-17.13433836012204), 'delta0': np.float64(1493.6743064801847), 'Omega0': np.float64(92.24283034296694), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.5,0.9392264929204419,"{'Delta0': np.float64(-13.206771677490163), 'delta0': np.float64(1494.3006337868883), 'Omega0': np.float64(95.33251774490469), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.625,0.9495831427762338,"{'Delta0': np.float64(-10.688765315388085), 'delta0': np.float64(1493.5786766255155), 'Omega0': np.float64(98.21767402116188), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.75,0.9564584733002122,"{'Delta0': np.float64(-10.83508850539453), 'delta0': np.float64(1490.3325834650457), 'Omega0': np.float64(101.14399395295122), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,0.875,0.960895033925808,"{'Delta0': np.float64(-11.21174249824046), 'delta0': np.float64(1486.7832165531206), 'Omega0': np.float64(103.86432209810646), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.4,1.0,0.9907341517021522,"{'Delta0': np.float64(-523.9589112859838), 'delta0': np.float64(1158.9933714396998), 'Omega0': np.float64(276.5544813977016), 'tau': np.float64(0.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.0,0.9869101672101962,"{'Delta0': np.float64(-58.93247709010823), 'delta0': np.float64(1495.5495822702349), 'Omega0': np.float64(219.31136150069798), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.125,0.9558259283987613,"{'Delta0': np.float64(-165.25963497219897), 'delta0': np.float64(1414.2429773039182), 'Omega0': np.float64(233.8271624958477), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.25,0.9353761878318424,"{'Delta0': np.float64(-5.1261285044795475), 'delta0': np.float64(1506.9430852559017), 'Omega0': np.float64(71.7842689676584), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.375,0.9471738924545369,"{'Delta0': np.float64(-5.483822192747834), 'delta0': np.float64(1503.686009672507), 'Omega0': np.float64(75.04333433815378), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.5,0.96920669283921,"{'Delta0': np.float64(-456.3183277244832), 'delta0': np.float64(1297.904253815636), 'Omega0': np.float64(420.7945821066239), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.625,0.9629923911567847,"{'Delta0': np.float64(-5.243673782316339), 'delta0': np.float64(1497.7917673436352), 'Omega0': np.float64(80.69819554231543), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.75,0.967874374753175,"{'Delta0': np.float64(-4.798150295236538), 'delta0': np.float64(1495.0571313994387), 'Omega0': np.float64(83.12751640061461), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,0.875,0.9709454309267797,"{'Delta0': np.float64(-4.403251702584388), 'delta0': np.float64(1492.2295382405587), 'Omega0': np.float64(85.3385363860251), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.6,1.0,0.991290430894219,"{'Delta0': np.float64(-872.6193788236474), 'delta0': np.float64(798.1414440906716), 'Omega0': np.float64(307.0787321916675), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.0,0.9880491175542222,"{'Delta0': np.float64(-116.47228286454086), 'delta0': np.float64(1439.8289275199913), 'Omega0': np.float64(164.27245301714782), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.125,0.9572688556259855,"{'Delta0': np.float64(-356.1114763327718), 'delta0': np.float64(1227.9392374610184), 'Omega0': np.float64(192.26765808171655), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.25,0.9474502821887743,"{'Delta0': np.float64(-2.3419489477392945), 'delta0': np.float64(1509.4053352216592), 'Omega0': np.float64(62.56880616925752), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.375,0.9618278663635104,"{'Delta0': np.float64(-642.9362855593623), 'delta0': np.float64(1186.3670158876337), 'Omega0': np.float64(405.2597327569436), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.5,0.9680441883443895,"{'Delta0': np.float64(-771.1046048851211), 'delta0': np.float64(960.9071158084614), 'Omega0': np.float64(299.6637783040262), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.625,0.9694359748534227,"{'Delta0': np.float64(-2.367293927534144), 'delta0': np.float64(1500.231802876164), 'Omega0': np.float64(70.5621195270335), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.75,0.9732872727633903,"{'Delta0': np.float64(-2.2235745048132207), 'delta0': np.float64(1497.2183188693318), 'Omega0': np.float64(72.77370900763903), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,0.875,0.9757417740310667,"{'Delta0': np.float64(-2.1413402175243883), 'delta0': np.float64(1494.1119993838088), 'Omega0': np.float64(74.79881495910664), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
0.8,1.0,0.9910853325918955,"{'Delta0': np.float64(-1433.936827260308), 'delta0': np.float64(230.64081109639693), 'Omega0': np.float64(299.29080784928425), 'tau': np.float64(0.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.0,0.9877368564283125,"{'Delta0': np.float64(-164.81727543546194), 'delta0': np.float64(1389.0293424990814), 'Omega0': np.float64(154.45962220840886), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.125,0.9573468766831768,"{'Delta0': np.float64(-529.186767906729), 'delta0': np.float64(1052.7829002745623), 'Omega0': np.float64(186.8935067622876), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.25,0.9553584967115873,"{'Delta0': np.float64(-612.9206548776464), 'delta0': np.float64(1235.9013291718347), 'Omega0': np.float64(434.3913367077108), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.375,0.9632790773680538,"{'Delta0': np.float64(-904.9753620161302), 'delta0': np.float64(893.4871872502464), 'Omega0': np.float64(314.7455925922925), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.5,0.9675760032841427,"{'Delta0': np.float64(-1105.9117477908042), 'delta0': np.float64(618.1723775831781), 'Omega0': np.float64(290.1111858794704), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.625,0.9731126493564484,"{'Delta0': np.float64(-1.1812335298067327), 'delta0': np.float64(1501.2787357319644), 'Omega0': np.float64(63.86176445148707), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.75,0.9763550186984381,"{'Delta0': np.float64(-1.1164838135781858), 'delta0': np.float64(1498.1901055264225), 'Omega0': np.float64(65.92196730366142), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,0.875,0.9784282345507577,"{'Delta0': np.float64(-1.1365953767058066), 'delta0': np.float64(1494.99305129416), 'Omega0': np.float64(67.80445323525531), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.0,1.0,0.9901276044274884,"{'Delta0': np.float64(-1570.796326790974), 'delta0': np.float64(71.8676228531764), 'Omega0': np.float64(341.36419721790776), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.2,0.0,0.9881378475576525,"{'Delta0': np.float64(-361.49407630529197), 'delta0': np.float64(1200.5277240692894), 'Omega0': np.float64(133.66269667492907), 'tau': np.float64(1.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.2,0.125,0.9576663311846199,"{'Delta0': np.float64(-1000.9196819628412), 'delta0': np.float64(587.6422536174773), 'Omega0': np.float64(158.02535796121384), 'tau': np.float64(1.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.2,0.25,0.9547087698268568,"{'Delta0': np.float64(-810.8942018766855), 'delta0': np.float64(1004.2622325245458), 'Omega0': np.float64(322.7496941894676), 'tau': np.float64(1.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.2,0.375,0.9638214960481888,"{'Delta0': np.float64(-1234.5670806206083), 'delta0': np.float64(551.5916726474017), 'Omega0': np.float64(284.0309454034586), 'tau': np.float64(1.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.2,0.5,0.9672466950695927,"{'Delta0': np.float64(-1522.3512439357432), 'delta0': np.float64(197.63211252485988), 'Omega0': np.float64(285.1824131407536), 'tau': np.float64(1.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.2,0.625,0.9754252025394692,"{'Delta0': np.float64(-0.6734902263826378), 'delta0': np.float64(1501.7509186942302), 'Omega0': np.float64(59.021694200699045), 'tau': np.float64(1.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.2,0.75,0.9782486716265743,"{'Delta0': np.float64(-0.6611790960142289), 'delta0': np.float64(1498.6110628490378), 'Omega0': np.float64(60.957794235201796), 'tau': np.float64(1.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.2,0.875,0.980057037644959,"{'Delta0': np.float64(-0.6603695151373292), 'delta0': np.float64(1495.4351496525837), 'Omega0': np.float64(62.72668304407223), 'tau': np.float64(1.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.2,1.0,0.9891140608597966,"{'Delta0': np.float64(-1570.6037118939125), 'delta0': np.float64(47.39034255470375), 'Omega0': np.float64(375.85615661277654), 'tau': np.float64(1.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.4,0.0,0.9881437817691978,"{'Delta0': np.float64(-477.31352468529406), 'delta0': np.float64(1083.9145647861362), 'Omega0': np.float64(132.28672008067488), 'tau': np.float64(1.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.4,0.125,0.9580592633160747,"{'Delta0': np.float64(-1355.440292272679), 'delta0': np.float64(232.95261851549327), 'Omega0': np.float64(157.31772784135208), 'tau': np.float64(1.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.4,0.25,0.9542584478060899,"{'Delta0': np.float64(-1052.1765905041882), 'delta0': np.float64(747.471321513084), 'Omega0': np.float64(279.13121609226414), 'tau': np.float64(1.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.4,0.375,0.9639446502710022,"{'Delta0': np.float64(-1570.1542339948107), 'delta0': np.float64(200.79984189768902), 'Omega0': np.float64(259.86075105825836), 'tau': np.float64(1.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.4,0.5,0.9661871658065198,"{'Delta0': np.float64(-1570.1362194622614), 'delta0': np.float64(134.90703209374038), 'Omega0': np.float64(345.87283059430956), 'tau': np.float64(1.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.4,0.625,0.9769535445053379,"{'Delta0': np.float64(-0.34316033991689643), 'delta0': np.float64(1502.0776045476282), 'Omega0': np.float64(55.30058903933761), 'tau': np.float64(1.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.4,0.75,0.9794691617567703,"{'Delta0': np.float64(-0.3764438398008948), 'delta0': np.float64(1498.8922653281168), 'Omega0': np.float64(57.148236790913806), 'tau': np.float64(1.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.4,0.875,0.9810827933112165,"{'Delta0': np.float64(-0.38416918925086657), 'delta0': np.float64(1495.7087413704235), 'Omega0': np.float64(58.837048297027856), 'tau': np.float64(1.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.4,1.0,0.9882194627099377,"{'Delta0': np.float64(-1570.7628780505047), 'delta0': np.float64(25.741685411770842), 'Omega0': np.float64(394.4712247918272), 'tau': np.float64(1.4), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.6,0.0,0.9880705305497328,"{'Delta0': np.float64(-611.5931251124019), 'delta0': np.float64(949.1148919302719), 'Omega0': np.float64(131.48295535145553), 'tau': np.float64(1.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.6,0.125,0.957790509921414,"{'Delta0': np.float64(-1570.5367743582576), 'delta0': np.float64(13.642058555917604), 'Omega0': np.float64(155.82263645888995), 'tau': np.float64(1.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.6,0.25,0.9539555032339575,"{'Delta0': np.float64(-1332.78141318905), 'delta0': np.float64(458.3304831912472), 'Omega0': np.float64(257.19276292115154), 'tau': np.float64(1.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.6,0.375,0.9612382399559756,"{'Delta0': np.float64(-1570.6899931174908), 'delta0': np.float64(199.65647447660257), 'Omega0': np.float64(381.0852155097766), 'tau': np.float64(1.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.6,0.5,0.9649669525622282,"{'Delta0': np.float64(-1570.435970256745), 'delta0': np.float64(116.05456306213956), 'Omega0': np.float64(395.47515640933176), 'tau': np.float64(1.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.6,0.625,0.9805117089696778,"{'Delta0': np.float64(-354.0155777523617), 'delta0': np.float64(1224.8660506606311), 'Omega0': np.float64(114.10482037467531), 'tau': np.float64(1.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.6,0.75,0.9802642803594749,"{'Delta0': np.float64(-0.22157748335054567), 'delta0': np.float64(1499.0584728062415), 'Omega0': np.float64(54.10273253661767), 'tau': np.float64(1.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.6,0.875,0.9817290031928914,"{'Delta0': np.float64(-0.2611971444001629), 'delta0': np.float64(1495.844652516085), 'Omega0': np.float64(55.726026040565394), 'tau': np.float64(1.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.6,1.0,0.9874146585740614,"{'Delta0': np.float64(-1570.736563883128), 'delta0': np.float64(7.494809546797467), 'Omega0': np.float64(404.14959634211993), 'tau': np.float64(1.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.8,0.0,0.9879891021179902,"{'Delta0': np.float64(-764.5038639782853), 'delta0': np.float64(795.8515464648881), 'Omega0': np.float64(130.86278258249467), 'tau': np.float64(1.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.8,0.125,0.9570896663646272,"{'Delta0': np.float64(-1570.7309807189615), 'delta0': np.float64(7.504186717186836), 'Omega0': np.float64(178.812574153039), 'tau': np.float64(1.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.8,0.25,0.9535517738938045,"{'Delta0': np.float64(-1570.3459573875339), 'delta0': np.float64(217.4307476385575), 'Omega0': np.float64(272.03047138267084), 'tau': np.float64(1.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.8,0.375,0.9593170663828517,"{'Delta0': np.float64(-1570.6035815013097), 'delta0': np.float64(184.92390656430905), 'Omega0': np.float64(459.37160240769265), 'tau': np.float64(1.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.8,0.5,0.9637523023684106,"{'Delta0': np.float64(-1570.6731484775678), 'delta0': np.float64(96.64758880213842), 'Omega0': np.float64(426.1868843869078), 'tau': np.float64(1.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.8,0.625,0.9801704456574724,"{'Delta0': np.float64(-433.92907770101414), 'delta0': np.float64(1144.142234074745), 'Omega0': np.float64(112.87347691544896), 'tau': np.float64(1.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.8,0.75,0.9807752490612623,"{'Delta0': np.float64(-0.14178709403897677), 'delta0': np.float64(1499.155740819787), 'Omega0': np.float64(51.593780006964735), 'tau': np.float64(1.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.8,0.875,0.9821213734677053,"{'Delta0': np.float64(-0.1713465073118344), 'delta0': np.float64(1495.9509128112923), 'Omega0': np.float64(53.15454396118796), 'tau': np.float64(1.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
1.8,1.0,0.9866640228631243,"{'Delta0': np.float64(-1562.368867418007), 'delta0': np.float64(0.0669053468650176), 'Omega0': np.float64(408.37084246965327), 'tau': np.float64(1.8), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,0.0,0.9879156948827781,"{'Delta0': np.float64(-935.8499231044946), 'delta0': np.float64(624.2571851553695), 'Omega0': np.float64(130.4455559578767), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,0.125,0.9741688451873344,"{'Delta0': np.float64(-227.21065450391967), 'delta0': np.float64(1316.4840710368633), 'Omega0': np.float64(85.01756775561185), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,0.25,0.9521529107690189,"{'Delta0': np.float64(-1570.6152295743912), 'delta0': np.float64(218.319197454597), 'Omega0': np.float64(376.43084944700723), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,0.375,0.9578300204264192,"{'Delta0': np.float64(-1570.750263453684), 'delta0': np.float64(165.76810122615953), 'Omega0': np.float64(512.5137544325335), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,0.5,0.9625630951218523,"{'Delta0': np.float64(-1570.621410449039), 'delta0': np.float64(78.90140715271804), 'Omega0': np.float64(449.3508062565563), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,0.625,0.9791493731696452,"{'Delta0': np.float64(-0.014438193118259966), 'delta0': np.float64(1502.4590553162946), 'Omega0': np.float64(47.828058461759774), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,0.75,0.9810860839590024,"{'Delta0': np.float64(-0.09406382374516987), 'delta0': np.float64(1499.2223473078475), 'Omega0': np.float64(49.4795472084471), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,0.875,0.982335807870737,"{'Delta0': np.float64(-0.1407407920749671), 'delta0': np.float64(1496.0005495396795), 'Omega0': np.float64(50.99001157858225), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
2.0,1.0,0.9859555866324556,"{'Delta0': np.float64(-1548.17549295914), 'delta0': np.float64(0.6014216088588128), 'Omega0': np.float64(408.9049641376939), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
