"Tau","Fidelity","Params"
"0.2","0.4484901849966483","{'Delta0': np.float64(-32.30164045197857), 'delta0': np.float64(1488.2524414418663), 'Omega0': np.float64(127.07261946130232), 'tau': np.float64(0.2), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"0.6","0.9090614596874268","{'Delta0': np.float64(-1481.9270667516885), 'delta0': np.float64(833.8940504611854), 'Omega0': np.float64(628.3106685880188), 'tau': np.float64(0.6), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"1","0.9362335517627948","{'Delta0': np.float64(-1570.7963267948965), 'delta0': np.float64(599.6885595921827), 'Omega0': np.float64(628.2961688073855), 'tau': np.float64(1.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"1.5","0.963888201621633","{'Delta0': np.float64(-424.43016996866123), 'delta0': np.float64(1258.986019238693), 'Omega0': np.float64(164.74398763865597), 'tau': np.float64(1.5), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"2","0.9653228761825078","{'Delta0': np.float64(-671.1092155272871), 'delta0': np.float64(996.1006789341394), 'Omega0': np.float64(129.512193949287), 'tau': np.float64(2.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"2.5","0.9658419106290668","{'Delta0': np.float64(-994.0246064610873), 'delta0': np.float64(670.6260999767078), 'Omega0': np.float64(127.07925880055453), 'tau': np.float64(2.5), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"3","0.9658399246313972","{'Delta0': np.float64(-1386.0742753767959), 'delta0': np.float64(276.97231873601476), 'Omega0': np.float64(125.86676834541805), 'tau': np.float64(3.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"3.5","0.9610641050633736","{'Delta0': np.float64(-1570.7830133555647), 'delta0': np.float64(98.1538149442879), 'Omega0': np.float64(184.9131590016008), 'tau': np.float64(3.5), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"4","0.9556983240601178","{'Delta0': np.float64(-1570.7756247458397), 'delta0': np.float64(94.2801061565025), 'Omega0': np.float64(253.87325680558928), 'tau': np.float64(4.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"4.5","0.9519554066416998","{'Delta0': np.float64(-1570.7894071031603), 'delta0': np.float64(83.49176482906523), 'Omega0': np.float64(295.9669995625035), 'tau': np.float64(4.5), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"
"5","0.9489432075984752","{'Delta0': np.float64(-1570.7671773590184), 'delta0': np.float64(71.2198506075024), 'Omega0': np.float64(323.89724702822815), 'tau': np.float64(5.0), 'V': 157.07963267948966, 'gamma': 0.041, 'Omega_MW': 3141.592653589793}"